fungicide,repetition,day,replicate,fruit,spots_per_fruit
Bellis,1,1,1,1,1
Bellis,1,1,1,2,0
Bellis,1,1,1,3,0
Bellis,1,1,1,4,0
Bellis,1,1,1,5,0
Bellis,1,1,2,1,0
Bellis,1,1,2,2,0
Bellis,1,1,2,3,0
Bellis,1,1,2,4,0
Bellis,1,1,2,5,0
Bellis,1,1,3,1,0
Bellis,1,1,3,2,0
Bellis,1,1,3,3,0
Bellis,1,1,3,4,1
Bellis,1,1,3,5,0
Bellis,1,1,4,1,0
Bellis,1,1,4,2,0
Bellis,1,1,4,3,0
Bellis,1,1,4,4,0
Bellis,1,1,4,5,0
Bellis,1,7,1,1,5
Bellis,1,7,1,2,10
Bellis,1,7,1,3,12
Bellis,1,7,1,4,8
Bellis,1,7,1,5,1
Bellis,1,7,2,1,0
Bellis,1,7,2,2,0
Bellis,1,7,2,3,6
Bellis,1,7,2,4,4
Bellis,1,7,2,5,2
Bellis,1,7,3,1,6
Bellis,1,7,3,2,2
Bellis,1,7,3,3,0
Bellis,1,7,3,4,1
Bellis,1,7,3,5,6
Bellis,1,7,4,1,1
Bellis,1,7,4,2,0
Bellis,1,7,4,3,10
Bellis,1,7,4,4,4
Bellis,1,7,4,5,0
Bellis,1,15,1,1,2
Bellis,1,15,1,2,8
Bellis,1,15,1,3,1
Bellis,1,15,1,4,3
Bellis,1,15,1,5,0
Bellis,1,15,2,1,1
Bellis,1,15,2,2,3
Bellis,1,15,2,3,5
Bellis,1,15,2,4,6
Bellis,1,15,2,5,5
Bellis,1,15,3,1,7
Bellis,1,15,3,2,7
Bellis,1,15,3,3,2
Bellis,1,15,3,4,10
Bellis,1,15,3,5,0
Bellis,1,15,4,1,0
Bellis,1,15,4,2,6
Bellis,1,15,4,3,3
Bellis,1,15,4,4,0
Bellis,1,15,4,5,14
Captan,1,1,1,1,0
Captan,1,1,1,2,1
Captan,1,1,1,3,0
Captan,1,1,1,4,0
Captan,1,1,1,5,0
Captan,1,1,2,1,0
Captan,1,1,2,2,0
Captan,1,1,2,3,1
Captan,1,1,2,4,0
Captan,1,1,2,5,2
Captan,1,1,3,1,0
Captan,1,1,3,2,0
Captan,1,1,3,3,0
Captan,1,1,3,4,0
Captan,1,1,3,5,1
Captan,1,1,4,1,1
Captan,1,1,4,2,1
Captan,1,1,4,3,1
Captan,1,1,4,4,1
Captan,1,1,4,5,1
Captan,1,7,1,1,0
Captan,1,7,1,2,0
Captan,1,7,1,3,0
Captan,1,7,1,4,4
Captan,1,7,1,5,1
Captan,1,7,2,1,1
Captan,1,7,2,2,0
Captan,1,7,2,3,0
Captan,1,7,2,4,0
Captan,1,7,2,5,1
Captan,1,7,3,1,2
Captan,1,7,3,2,3
Captan,1,7,3,3,1
Captan,1,7,3,4,7
Captan,1,7,3,5,2
Captan,1,7,4,1,7
Captan,1,7,4,2,6
Captan,1,7,4,3,6
Captan,1,7,4,4,3
Captan,1,7,4,5,0
Captan,1,15,1,1,10
Captan,1,15,1,2,35
Captan,1,15,1,3,4
Captan,1,15,1,4,4
Captan,1,15,1,5,8
Captan,1,15,2,1,0
Captan,1,15,2,2,11
Captan,1,15,2,3,3
Captan,1,15,2,4,20
Captan,1,15,2,5,15
Captan,1,15,3,1,5
Captan,1,15,3,2,8
Captan,1,15,3,3,0
Captan,1,15,3,4,0
Captan,1,15,3,5,14
Captan,1,15,4,1,10
Captan,1,15,4,2,17
Captan,1,15,4,3,7
Captan,1,15,4,4,0
Captan,1,15,4,5,19
Timorex,1,1,1,1,24
Timorex,1,1,1,2,37
Timorex,1,1,1,3,20
Timorex,1,1,1,4,23
Timorex,1,1,1,5,13
Timorex,1,1,2,1,46
Timorex,1,1,2,2,30
Timorex,1,1,2,3,19
Timorex,1,1,2,4,8
Timorex,1,1,2,5,15
Timorex,1,1,3,1,8
Timorex,1,1,3,2,14
Timorex,1,1,3,3,24
Timorex,1,1,3,4,20
Timorex,1,1,3,5,15
Timorex,1,1,4,1,14
Timorex,1,1,4,2,16
Timorex,1,1,4,3,18
Timorex,1,1,4,4,17
Timorex,1,1,4,5,10
Timorex,1,7,1,1,67
Timorex,1,7,1,2,75
Timorex,1,7,1,3,38
Timorex,1,7,1,4,41
Timorex,1,7,1,5,62
Timorex,1,7,2,1,58
Timorex,1,7,2,2,39
Timorex,1,7,2,3,66
Timorex,1,7,2,4,53
Timorex,1,7,2,5,64
Timorex,1,7,3,1,36
Timorex,1,7,3,2,54
Timorex,1,7,3,3,34
Timorex,1,7,3,4,35
Timorex,1,7,3,5,55
Timorex,1,7,4,1,42
Timorex,1,7,4,2,70
Timorex,1,7,4,3,32
Timorex,1,7,4,4,72
Timorex,1,7,4,5,56
Timorex,1,15,1,1,90
Timorex,1,15,1,2,78
Timorex,1,15,1,3,69
Timorex,1,15,1,4,56
Timorex,1,15,1,5,29
Timorex,1,15,2,1,35
Timorex,1,15,2,2,60
Timorex,1,15,2,3,34
Timorex,1,15,2,4,62
Timorex,1,15,2,5,51
Timorex,1,15,3,1,49
Timorex,1,15,3,2,36
Timorex,1,15,3,3,53
Timorex,1,15,3,4,79
Timorex,1,15,3,5,52
Timorex,1,15,4,1,64
Timorex,1,15,4,2,71
Timorex,1,15,4,3,83
Timorex,1,15,4,4,76
Timorex,1,15,4,5,67
Ziram,1,1,1,1,1
Ziram,1,1,1,2,1
Ziram,1,1,1,3,0
Ziram,1,1,1,4,0
Ziram,1,1,1,5,0
Ziram,1,1,2,1,1
Ziram,1,1,2,2,3
Ziram,1,1,2,3,0
Ziram,1,1,2,4,1
Ziram,1,1,2,5,0
Ziram,1,1,3,1,0
Ziram,1,1,3,2,2
Ziram,1,1,3,3,2
Ziram,1,1,3,4,5
Ziram,1,1,3,5,2
Ziram,1,1,4,1,1
Ziram,1,1,4,2,0
Ziram,1,1,4,3,4
Ziram,1,1,4,4,0
Ziram,1,1,4,5,1
Ziram,1,7,1,1,7
Ziram,1,7,1,2,0
Ziram,1,7,1,3,0
Ziram,1,7,1,4,0
Ziram,1,7,1,5,2
Ziram,1,7,2,1,8
Ziram,1,7,2,2,2
Ziram,1,7,2,3,1
Ziram,1,7,2,4,0
Ziram,1,7,2,5,0
Ziram,1,7,3,1,0
Ziram,1,7,3,2,2
Ziram,1,7,3,3,1
Ziram,1,7,3,4,1
Ziram,1,7,3,5,2
Ziram,1,7,4,1,0
Ziram,1,7,4,2,0
Ziram,1,7,4,3,1
Ziram,1,7,4,4,0
Ziram,1,7,4,5,5
Ziram,1,15,1,1,13
Ziram,1,15,1,2,11
Ziram,1,15,1,3,3
Ziram,1,15,1,4,9
Ziram,1,15,1,5,9
Ziram,1,15,2,1,23
Ziram,1,15,2,2,2
Ziram,1,15,2,3,13
Ziram,1,15,2,4,8
Ziram,1,15,2,5,4
Ziram,1,15,3,1,2
Ziram,1,15,3,2,3
Ziram,1,15,3,3,3
Ziram,1,15,3,4,1
Ziram,1,15,3,5,4
Ziram,1,15,4,1,3
Ziram,1,15,4,2,12
Ziram,1,15,4,3,4
Ziram,1,15,4,4,6
Ziram,1,15,4,5,3
control,1,1,1,1,97
control,1,1,1,2,58
control,1,1,1,3,70
control,1,1,1,4,63
control,1,1,1,5,87
control,1,1,2,1,70
control,1,1,2,2,92
control,1,1,2,3,65
control,1,1,2,4,81
control,1,1,2,5,64
control,1,1,3,1,62
control,1,1,3,2,89
control,1,1,3,3,50
control,1,1,3,4,61
control,1,1,3,5,76
control,1,1,4,1,78
control,1,1,4,2,74
control,1,1,4,3,53
control,1,1,4,4,75
control,1,1,4,5,83
control,1,7,1,1,93
control,1,7,1,2,80
control,1,7,1,3,100
control,1,7,1,4,75
control,1,7,1,5,90
control,1,7,2,1,104
control,1,7,2,2,121
control,1,7,2,3,85
control,1,7,2,4,80
control,1,7,2,5,79
control,1,7,3,1,62
control,1,7,3,2,66
control,1,7,3,3,63
control,1,7,3,4,59
control,1,7,3,5,76
control,1,7,4,1,36
control,1,7,4,2,64
control,1,7,4,3,62
control,1,7,4,4,74
control,1,7,4,5,56
control,1,15,1,1,96
control,1,15,1,2,88
control,1,15,1,3,75
control,1,15,1,4,71
control,1,15,1,5,87
control,1,15,2,1,74
control,1,15,2,2,124
control,1,15,2,3,80
control,1,15,2,4,90
control,1,15,2,5,76
control,1,15,3,1,69
control,1,15,3,2,88
control,1,15,3,3,91
control,1,15,3,4,66
control,1,15,3,5,34
control,1,15,4,1,56
control,1,15,4,2,95
control,1,15,4,3,109
control,1,15,4,4,77
control,1,15,4,5,67
Bellis,2,1,1,1,0
Bellis,2,1,1,2,0
Bellis,2,1,1,3,0
Bellis,2,1,1,4,1
Bellis,2,1,1,5,0
Bellis,2,1,2,1,1
Bellis,2,1,2,2,0
Bellis,2,1,2,3,0
Bellis,2,1,2,4,0
Bellis,2,1,2,5,0
Bellis,2,1,3,1,0
Bellis,2,1,3,2,0
Bellis,2,1,3,3,0
Bellis,2,1,3,4,0
Bellis,2,1,3,5,0
Bellis,2,1,4,1,1
Bellis,2,1,4,2,0
Bellis,2,1,4,3,0
Bellis,2,1,4,4,0
Bellis,2,1,4,5,0
Bellis,2,7,1,1,4
Bellis,2,7,1,2,0
Bellis,2,7,1,3,5
Bellis,2,7,1,4,2
Bellis,2,7,1,5,0
Bellis,2,7,2,1,0
Bellis,2,7,2,2,1
Bellis,2,7,2,3,3
Bellis,2,7,2,4,3
Bellis,2,7,2,5,1
Bellis,2,7,3,1,2
Bellis,2,7,3,2,0
Bellis,2,7,3,3,0
Bellis,2,7,3,4,1
Bellis,2,7,3,5,0
Bellis,2,7,4,1,3
Bellis,2,7,4,2,0
Bellis,2,7,4,3,5
Bellis,2,7,4,4,2
Bellis,2,7,4,5,0
Bellis,2,15,1,1,3
Bellis,2,15,1,2,7
Bellis,2,15,1,3,0
Bellis,2,15,1,4,6
Bellis,2,15,1,5,0
Bellis,2,15,2,1,1
Bellis,2,15,2,2,5
Bellis,2,15,2,3,4
Bellis,2,15,2,4,7
Bellis,2,15,2,5,5
Bellis,2,15,3,1,6
Bellis,2,15,3,2,5
Bellis,2,15,3,3,3
Bellis,2,15,3,4,9
Bellis,2,15,3,5,2
Bellis,2,15,4,1,2
Bellis,2,15,4,2,5
Bellis,2,15,4,3,4
Bellis,2,15,4,4,0
Bellis,2,15,4,5,12
Captan,2,1,1,1,0
Captan,2,1,1,2,0
Captan,2,1,1,3,0
Captan,2,1,1,4,0
Captan,2,1,1,5,1
Captan,2,1,2,1,0
Captan,2,1,2,2,0
Captan,2,1,2,3,0
Captan,2,1,2,4,1
Captan,2,1,2,5,1
Captan,2,1,3,1,0
Captan,2,1,3,2,0
Captan,2,1,3,3,1
Captan,2,1,3,4,0
Captan,2,1,3,5,1
Captan,2,1,4,1,1
Captan,2,1,4,2,0
Captan,2,1,4,3,1
Captan,2,1,4,4,1
Captan,2,1,4,5,2
Captan,2,7,1,1,0
Captan,2,7,1,2,0
Captan,2,7,1,3,3
Captan,2,7,1,4,2
Captan,2,7,1,5,2
Captan,2,7,2,1,1
Captan,2,7,2,2,0
Captan,2,7,2,3,2
Captan,2,7,2,4,0
Captan,2,7,2,5,1
Captan,2,7,3,1,2
Captan,2,7,3,2,4
Captan,2,7,3,3,2
Captan,2,7,3,4,6
Captan,2,7,3,5,2
Captan,2,7,4,1,7
Captan,2,7,4,2,5
Captan,2,7,4,3,5
Captan,2,7,4,4,3
Captan,2,7,4,5,0
Captan,2,15,1,1,9
Captan,2,15,1,2,30
Captan,2,15,1,3,15
Captan,2,15,1,4,14
Captan,2,15,1,5,4
Captan,2,15,2,1,2
Captan,2,15,2,2,0
Captan,2,15,2,3,14
Captan,2,15,2,4,5
Captan,2,15,2,5,20
Captan,2,15,3,1,7
Captan,2,15,3,2,6
Captan,2,15,3,3,14
Captan,2,15,3,4,0
Captan,2,15,3,5,10
Captan,2,15,4,1,0
Captan,2,15,4,2,10
Captan,2,15,4,3,8
Captan,2,15,4,4,13
Captan,2,15,4,5,0
Timorex,2,1,1,1,37
Timorex,2,1,1,2,25
Timorex,2,1,1,3,23
Timorex,2,1,1,4,20
Timorex,2,1,1,5,45
Timorex,2,1,2,1,14
Timorex,2,1,2,2,18
Timorex,2,1,2,3,31
Timorex,2,1,2,4,16
Timorex,2,1,2,5,7
Timorex,2,1,3,1,8
Timorex,2,1,3,2,12
Timorex,2,1,3,3,26
Timorex,2,1,3,4,16
Timorex,2,1,3,5,19
Timorex,2,1,4,1,14
Timorex,2,1,4,2,18
Timorex,2,1,4,3,15
Timorex,2,1,4,4,16
Timorex,2,1,4,5,9
Timorex,2,7,1,1,72
Timorex,2,7,1,2,67
Timorex,2,7,1,3,36
Timorex,2,7,1,4,48
Timorex,2,7,1,5,67
Timorex,2,7,2,1,52
Timorex,2,7,2,2,36
Timorex,2,7,2,3,70
Timorex,2,7,2,4,63
Timorex,2,7,2,5,67
Timorex,2,7,3,1,54
Timorex,2,7,3,2,37
Timorex,2,7,3,3,33
Timorex,2,7,3,4,55
Timorex,2,7,3,5,39
Timorex,2,7,4,1,38
Timorex,2,7,4,2,36
Timorex,2,7,4,3,90
Timorex,2,7,4,4,71
Timorex,2,7,4,5,92
Timorex,2,15,1,1,72
Timorex,2,15,1,2,68
Timorex,2,15,1,3,62
Timorex,2,15,1,4,31
Timorex,2,15,1,5,29
Timorex,2,15,2,1,37
Timorex,2,15,2,2,58
Timorex,2,15,2,3,61
Timorex,2,15,2,4,37
Timorex,2,15,2,5,46
Timorex,2,15,3,1,52
Timorex,2,15,3,2,36
Timorex,2,15,3,3,53
Timorex,2,15,3,4,79
Timorex,2,15,3,5,52
Timorex,2,15,4,1,60
Timorex,2,15,4,2,72
Timorex,2,15,4,3,82
Timorex,2,15,4,4,72
Timorex,2,15,4,5,50
Ziram,2,1,1,1,1
Ziram,2,1,1,2,0
Ziram,2,1,1,3,1
Ziram,2,1,1,4,0
Ziram,2,1,1,5,0
Ziram,2,1,2,1,1
Ziram,2,1,2,2,2
Ziram,2,1,2,3,1
Ziram,2,1,2,4,1
Ziram,2,1,2,5,0
Ziram,2,1,3,1,2
Ziram,2,1,3,2,0
Ziram,2,1,3,3,2
Ziram,2,1,3,4,4
Ziram,2,1,3,5,2
Ziram,2,1,4,1,0
Ziram,2,1,4,2,0
Ziram,2,1,4,3,2
Ziram,2,1,4,4,0
Ziram,2,1,4,5,1
Ziram,2,7,1,1,5
Ziram,2,7,1,2,0
Ziram,2,7,1,3,1
Ziram,2,7,1,4,0
Ziram,2,7,1,5,3
Ziram,2,7,2,1,6
Ziram,2,7,2,2,3
Ziram,2,7,2,3,1
Ziram,2,7,2,4,1
Ziram,2,7,2,5,0
Ziram,2,7,3,1,0
Ziram,2,7,3,2,1
Ziram,2,7,3,3,0
Ziram,2,7,3,4,1
Ziram,2,7,3,5,3
Ziram,2,7,4,1,0
Ziram,2,7,4,2,0
Ziram,2,7,4,3,1
Ziram,2,7,4,4,0
Ziram,2,7,4,5,1
Ziram,2,15,1,1,10
Ziram,2,15,1,2,8
Ziram,2,15,1,3,3
Ziram,2,15,1,4,9
Ziram,2,15,1,5,9
Ziram,2,15,2,1,10
Ziram,2,15,2,2,2
Ziram,2,15,2,3,12
Ziram,2,15,2,4,5
Ziram,2,15,2,5,5
Ziram,2,15,3,1,2
Ziram,2,15,3,2,2
Ziram,2,15,3,3,3
Ziram,2,15,3,4,2
Ziram,2,15,3,5,3
Ziram,2,15,4,1,4
Ziram,2,15,4,2,10
Ziram,2,15,4,3,3
Ziram,2,15,4,4,5
Ziram,2,15,4,5,4
control,2,1,1,1,99
control,2,1,1,2,74
control,2,1,1,3,78
control,2,1,1,4,81
control,2,1,1,5,85
control,2,1,2,1,73
control,2,1,2,2,95
control,2,1,2,3,80
control,2,1,2,4,65
control,2,1,2,5,67
control,2,1,3,1,82
control,2,1,3,2,59
control,2,1,3,3,76
control,2,1,3,4,69
control,2,1,3,5,75
control,2,1,4,1,53
control,2,1,4,2,78
control,2,1,4,3,72
control,2,1,4,4,58
control,2,1,4,5,92
control,2,7,1,1,95
control,2,7,1,2,74
control,2,7,1,3,73
control,2,7,1,4,59
control,2,7,1,5,102
control,2,7,2,1,83
control,2,7,2,2,106
control,2,7,2,3,89
control,2,7,2,4,97
control,2,7,2,5,73
control,2,7,3,1,76
control,2,7,3,2,83
control,2,7,3,3,62
control,2,7,3,4,57
control,2,7,3,5,83
control,2,7,4,1,45
control,2,7,4,2,63
control,2,7,4,3,68
control,2,7,4,4,73
control,2,7,4,5,59
control,2,15,1,1,97
control,2,15,1,2,91
control,2,15,1,3,79
control,2,15,1,4,70
control,2,15,1,5,74
control,2,15,2,1,87
control,2,15,2,2,81
control,2,15,2,3,114
control,2,15,2,4,68
control,2,15,2,5,85
control,2,15,3,1,69
control,2,15,3,2,90
control,2,15,3,3,87
control,2,15,3,4,70
control,2,15,3,5,39
control,2,15,4,1,45
control,2,15,4,2,100
control,2,15,4,3,102
control,2,15,4,4,68
control,2,15,4,5,72
